substance,indicator,age_group,percentage,sample_count,total_surveyed
Cannabis,Medical cannabis use for nausea or vomiting,15-19,24.74,45,182.0
Cannabis,Medical cannabis use for nausea or vomiting,20-24,15.81,71,466.0
Cannabis,Medical cannabis use for nausea or vomiting,25-54,9.82,195,1946.0
Cannabis,Medical cannabis use for nausea or vomiting,55+,2.56,27,1261.0
Cannabis,Medical cannabis use for lack of appetite,15-19,52.64,88,182.0
Cannabis,Medical cannabis use for lack of appetite,20-24,32.39,149,466.0
Cannabis,Medical cannabis use for lack of appetite,25-54,11.15,190,1946.0
Cannabis,Medical cannabis use for lack of appetite,55+,3.31,35,1261.0
Cannabis,Medical cannabis use for seizures or epilepsy,15-19,0.7,3,182.0
Cannabis,Medical cannabis use for seizures or epilepsy,20-24,1.69,9,466.0
Cannabis,Medical cannabis use for seizures or epilepsy,25-54,1.18,25,1946.0
Cannabis,Medical cannabis use for seizures or epilepsy,55+,0.22,3,1261.0
Cannabis,Medical cannabis use for diabetes,20-24,0.39,2,466.0
Cannabis,Medical cannabis use for diabetes,25-54,2.15,39,1946.0
Cannabis,Medical cannabis use for diabetes,55+,3.14,40,1261.0
Cannabis,Medical cannabis use for multiple sclerosis,15-19,0.45,3,182.0
Cannabis,Medical cannabis use for multiple sclerosis,20-24,1.15,5,466.0
Cannabis,Medical cannabis use for multiple sclerosis,25-54,1.92,43,1946.0
Cannabis,Medical cannabis use for multiple sclerosis,55+,1.98,28,1261.0
Cannabis,Medical cannabis use for cancer/tumors,15-19,0.67,2,182.0
Cannabis,Medical cannabis use for cancer/tumors,25-54,1.15,28,1946.0
Cannabis,Medical cannabis use for cancer/tumors,55+,2.36,32,1261.0
Cannabis,Medical cannabis use for opioid withdrawal symptoms,15-19,1.45,3,182.0
Cannabis,Medical cannabis use for opioid withdrawal symptoms,20-24,0.64,4,466.0
Cannabis,Medical cannabis use for opioid withdrawal symptoms,25-54,1.21,20,1946.0
Cannabis,Medical cannabis use for schizophrenia or psychosis,15-19,3.27,9,182.0
Cannabis,Medical cannabis use for schizophrenia or psychosis,20-24,3.42,16,466.0
Cannabis,Medical cannabis use for schizophrenia or psychosis,25-54,0.77,10,1946.0
Cannabis,Medical cannabis use for schizophrenia or psychosis,55+,0.15,2,1261.0
Cannabis,"Medical cannabis use for bipolar disorder, mania, personality disorder",15-19,20.1,36,182.0
Cannabis,"Medical cannabis use for bipolar disorder, mania, personality disorder",20-24,15.33,70,466.0
Cannabis,"Medical cannabis use for bipolar disorder, mania, personality disorder",25-54,4.98,87,1946.0
Cannabis,"Medical cannabis use for bipolar disorder, mania, personality disorder",55+,0.72,10,1261.0
Cannabis,Medical cannabis use for PMS/Menstrual cramps/Menopause/Endometriosis,15-19,0.36,1,182.0
Cannabis,Medical cannabis use for PMS/Menstrual cramps/Menopause/Endometriosis,20-24,2.59,10,466.0
Cannabis,Medical cannabis use for PMS/Menstrual cramps/Menopause/Endometriosis,25-54,0.93,21,1946.0
Cannabis,Medical cannabis use for PMS/Menstrual cramps/Menopause/Endometriosis,55+,0.3,4,1261.0
Cannabis,Passenger in a vehicle driven by someone who used cannabis,15-19,20.48,523,2521.0
Cannabis,Passenger in a vehicle driven by someone who used cannabis,20-24,19.7,882,4470.0
Cannabis,Passenger in a vehicle driven by someone who used cannabis,25-54,8.82,1477,16833.0
Cannabis,Passenger in a vehicle driven by someone who used cannabis,55+,3.09,412,12261.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,15-19,3.37,86,2520.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,15-19,4.16,102,2520.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,20-24,3.16,139,4465.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,20-24,3.85,171,4465.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,25-54,1.18,186,16825.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,25-54,2.09,318,16825.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,55+,0.44,64,12260.0
Cannabis,Passenger in a vehicle driven by someone who had alcohol and cannabis,55+,0.69,76,12260.0
Cannabis,Driving a vehicle after smoking or vapourizing cannabis,15-19,5.95,152,2518.0
Cannabis,Driving a vehicle after smoking or vapourizing cannabis,20-24,7.35,335,4467.0
Cannabis,Driving a vehicle after smoking or vapourizing cannabis,25-54,4.84,811,16820.0
Cannabis,Driving a vehicle after smoking or vapourizing cannabis,55+,1.93,238,12260.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,15-19,48.14,71,132.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,15-19,16.88,23,132.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,20-24,49.08,145,291.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,20-24,20.37,58,291.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,25-54,53.73,372,714.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,25-54,24.38,185,714.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,55+,43.33,103,218.0
Cannabis,Number of times driving after smoking or vapourizing cannabis,55+,20.88,49,218.0
Cannabis,Driving a vehicle after ingesting a cannabis product,15-19,3.3,85,2517.0
Cannabis,Driving a vehicle after ingesting a cannabis product,20-24,4.13,181,4469.0
Cannabis,Driving a vehicle after ingesting a cannabis product,25-54,3.07,508,16824.0
Cannabis,Driving a vehicle after ingesting a cannabis product,55+,1.54,211,12268.0
Cannabis,Number of times driving after ingesting a cannabis product,15-19,59.43,45,73.0
Cannabis,Number of times driving after ingesting a cannabis product,15-19,15.97,10,73.0
Cannabis,Number of times driving after ingesting a cannabis product,20-24,51.67,89,164.0
Cannabis,Number of times driving after ingesting a cannabis product,20-24,10.79,19,164.0
Cannabis,Number of times driving after ingesting a cannabis product,25-54,63.08,286,467.0
Cannabis,Number of times driving after ingesting a cannabis product,25-54,16.28,89,467.0
Cannabis,Number of times driving after ingesting a cannabis product,55+,67.16,127,197.0
Cannabis,Number of times driving after ingesting a cannabis product,55+,12.08,33,197.0
Cannabis,Accident or collision while driving after using cannabis,15-19,0.23,5,2533.0
Cannabis,Accident or collision while driving after using cannabis,20-24,0.15,6,4493.0
Cannabis,Accident or collision while driving after using cannabis,25-54,0.06,14,16878.0
Cannabis,Accident or collision while driving after using cannabis,55+,0.01,3,12276.0
Cannabis,Cannabis use during pregnancy,20-24,17.02,13,75.0
Cannabis,Cannabis use during pregnancy,25-54,5.89,60,1098.0
Cannabis,Cannabis use while breastfeeding,20-24,15.42,9,62.0
Cannabis,Cannabis use while breastfeeding,25-54,7.17,71,984.0
Opioids,Lifetime use of any pharmaceutical opioids,15-19,14.17,361,2512.0
Opioids,Lifetime use of any pharmaceutical opioids,20-24,24.41,1046,4462.0
Opioids,Lifetime use of any pharmaceutical opioids,25-54,31.71,5649,16802.0
Opioids,Lifetime use of any pharmaceutical opioids,55+,32.35,3992,12239.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,15-19,1.65,34,2265.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,15-19,0.45,11,2265.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,20-24,0.9,31,3646.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,20-24,0.7,23,3646.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,25-54,1.17,153,12425.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,25-54,0.58,83,12425.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,55+,1.45,128,9256.0
Opioids,Lifetime use low-dose codeine for non-medical purposes,55+,0.36,34,9256.0
Opioids,Past 12 month use of pharmaceutical opioids,15-19,8.59,214,2512.0
Opioids,Past 12 month use of pharmaceutical opioids,20-24,11.13,476,4462.0
Opioids,Past 12 month use of pharmaceutical opioids,25-54,12.39,2280,16802.0
Opioids,Past 12 month use of pharmaceutical opioids,55+,15.94,1856,12239.0
Opioids,Past 12 month use of pharmaceutical opioids (excluding low-dose codeine),15-19,6.18,162,2511.0
Opioids,Past 12 month use of pharmaceutical opioids (excluding low-dose codeine),20-24,8.4,357,4462.0
Opioids,Past 12 month use of pharmaceutical opioids (excluding low-dose codeine),25-54,8.85,1624,16802.0
Opioids,Past 12 month use of pharmaceutical opioids (excluding low-dose codeine),55+,12.32,1382,12239.0
Opioids,Past 12 month use of low-dose codeine,15-19,5.14,116,2505.0
Opioids,Past 12 month use of low-dose codeine,20-24,5.45,230,4459.0
Opioids,Past 12 month use of low-dose codeine,25-54,6.98,1277,16794.0
Opioids,Past 12 month use of low-dose codeine,55+,8.53,1013,12224.0
Opioids,Past 12 month use of other codeine products,15-19,3.88,98,2507.0
Opioids,Past 12 month use of other codeine products,20-24,5.13,218,4458.0
Opioids,Past 12 month use of other codeine products,25-54,4.9,916,16791.0
Opioids,Past 12 month use of other codeine products,55+,7.05,776,12232.0
Opioids,Past 12 month use of oxycodone,15-19,1.6,43,2505.0
Opioids,Past 12 month use of oxycodone,20-24,2.2,91,4456.0
Opioids,Past 12 month use of oxycodone,25-54,2.06,319,16799.0
Opioids,Past 12 month use of oxycodone,55+,3.1,293,12234.0
Opioids,Past 12 month use of prescription fentanyl,15-19,0.89,26,2509.0
Opioids,Past 12 month use of prescription fentanyl,20-24,0.98,42,4460.0
Opioids,Past 12 month use of prescription fentanyl,25-54,1.18,216,16801.0
Opioids,Past 12 month use of prescription fentanyl,55+,1.01,136,12235.0
Opioids,Past 12 month use of other opioids,15-19,2.39,64,2507.0
Opioids,Past 12 month use of other opioids,20-24,3.99,174,4460.0
Opioids,Past 12 month use of other opioids,25-54,4.77,891,16799.0
Opioids,Past 12 month use of other opioids,55+,6.9,751,12233.0
Opioids,Frequency of opioid use in past 12 months,15-19,71.12,134,194.0
Opioids,Frequency of opioid use in past 12 months,15-19,13.42,28,194.0
Opioids,Frequency of opioid use in past 12 months,15-19,12.2,22,194.0
Opioids,Frequency of opioid use in past 12 months,15-19,3.25,10,194.0
Opioids,Frequency of opioid use in past 12 months,20-24,74.55,322,436.0
Opioids,Frequency of opioid use in past 12 months,20-24,13.64,63,436.0
Opioids,Frequency of opioid use in past 12 months,20-24,5.87,24,436.0
Opioids,Frequency of opioid use in past 12 months,20-24,5.94,27,436.0
Opioids,Frequency of opioid use in past 12 months,25-54,71.37,1472,2081.0
Opioids,Frequency of opioid use in past 12 months,25-54,9.42,195,2081.0
Opioids,Frequency of opioid use in past 12 months,25-54,7.05,144,2081.0
Opioids,Frequency of opioid use in past 12 months,25-54,12.17,270,2081.0
Opioids,Frequency of opioid use in past 12 months,55+,56.34,1013,1722.0
Opioids,Frequency of opioid use in past 12 months,55+,10.95,166,1722.0
Opioids,Frequency of opioid use in past 12 months,55+,10.01,173,1722.0
Opioids,Frequency of opioid use in past 12 months,55+,22.7,370,1722.0
Opioids,Higher or more frequent dose of opioids than recommended,15-19,21.76,42,210.0
Opioids,Higher or more frequent dose of opioids than recommended,20-24,13.96,67,475.0
Opioids,Higher or more frequent dose of opioids than recommended,25-54,6.12,130,2276.0
Opioids,Higher or more frequent dose of opioids than recommended,55+,4.37,73,1850.0
Opioids,Higher dose of opioids than recommended,15-19,18.02,32,210.0
Opioids,Higher dose of opioids than recommended,20-24,12.75,60,475.0
Opioids,Higher dose of opioids than recommended,25-54,5.38,108,2276.0
Opioids,Higher dose of opioids than recommended,55+,2.94,54,1851.0
Opioids,More frequent dose of opioids than recommended,15-19,13.07,29,212.0
Opioids,More frequent dose of opioids than recommended,20-24,9.01,43,475.0
Opioids,More frequent dose of opioids than recommended,25-54,4.91,104,2277.0
Opioids,More frequent dose of opioids than recommended,55+,3.42,54,1852.0
Opioids,Opioid use for non-medical purposes,15-19,23.33,43,214.0
Opioids,Opioid use for non-medical purposes,20-24,9.61,46,474.0
Opioids,Opioid use for non-medical purposes,25-54,6.19,129,2278.0
Opioids,Opioid use for non-medical purposes,55+,3.59,61,1850.0
Opioids,Length of time using opioids for non-medical purposes,15-19,46.2,13,33.0
Opioids,Length of time using opioids for non-medical purposes,15-19,39.82,16,33.0
Opioids,Length of time using opioids for non-medical purposes,15-19,12.61,3,33.0
Opioids,Length of time using opioids for non-medical purposes,15-19,1.37,1,33.0
Opioids,Length of time using opioids for non-medical purposes,20-24,15.96,9,53.0
Opioids,Length of time using opioids for non-medical purposes,20-24,38.47,19,53.0
Opioids,Length of time using opioids for non-medical purposes,20-24,24.91,14,53.0
Opioids,Length of time using opioids for non-medical purposes,20-24,17.56,9,53.0
Opioids,Length of time using opioids for non-medical purposes,20-24,3.1,2,53.0
Opioids,Length of time using opioids for non-medical purposes,25-54,13.09,20,144.0
Opioids,Length of time using opioids for non-medical purposes,25-54,25.58,34,144.0
Opioids,Length of time using opioids for non-medical purposes,25-54,17.92,29,144.0
Opioids,Length of time using opioids for non-medical purposes,25-54,22.67,32,144.0
Opioids,Length of time using opioids for non-medical purposes,25-54,20.73,29,144.0
Opioids,Length of time using opioids for non-medical purposes,55+,16.93,11,64.0
Opioids,Length of time using opioids for non-medical purposes,55+,19.44,17,64.0
Opioids,Length of time using opioids for non-medical purposes,55+,15.94,6,64.0
Opioids,Length of time using opioids for non-medical purposes,55+,5.17,4,64.0
Opioids,Length of time using opioids for non-medical purposes,55+,42.52,26,64.0
Opioids,Age of starting use of low-dose codeine for non-medical purposes,15-19,100.0,45,45.0
Opioids,Age of starting use of low-dose codeine for non-medical purposes,20-24,100.0,54,54.0
Opioids,Age of starting use of low-dose codeine for non-medical purposes,25-54,58.58,138,236.0
Opioids,Age of starting use of low-dose codeine for non-medical purposes,25-54,41.42,98,236.0
Opioids,Age of starting use of low-dose codeine for non-medical purposes,55+,42.75,76,162.0
Opioids,Age of starting use of low-dose codeine for non-medical purposes,55+,57.25,86,162.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,15-19,66.49,25,39.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,15-19,6.3,4,39.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,15-19,21.86,8,39.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,15-19,5.34,2,39.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,20-24,45.89,21,44.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,20-24,28.75,11,44.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,20-24,11.51,6,44.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,20-24,13.84,6,44.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,25-54,42.78,52,117.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,25-54,12.49,11,117.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,25-54,20.28,24,117.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,25-54,24.46,30,117.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,55+,31.68,15,56.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,55+,18.84,13,56.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,55+,24.19,15,56.0
Opioids,Frequency of opioid use for non-medical purposes in past 12 months,55+,25.3,13,56.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,20-24,60.93,19,30.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,20-24,15.52,4,30.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,20-24,17.72,5,30.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,20-24,5.83,2,30.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,25-54,46.02,69,143.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,25-54,14.54,19,143.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,25-54,20.12,27,143.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,25-54,19.32,28,143.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,55+,43.14,60,121.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,55+,17.78,17,121.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,55+,16.11,21,121.0
Opioids,Frequency of low-dose codeine use for non-medical purposes in past 12 months,55+,22.97,23,121.0
Opioids,Tamper with opioids,15-19,43.39,18,42.0
Opioids,Tamper with opioids,20-24,27.18,13,46.0
Opioids,Tamper with opioids,25-54,21.72,30,127.0
Opioids,Tamper with opioids,55+,10.94,8,61.0
Opioids,Lifetime tamper with low-dose codeine,15-19,33.16,12,43.0
Opioids,Lifetime tamper with low-dose codeine,15-19,3.89,5,43.0
Opioids,Lifetime tamper with low-dose codeine,20-24,12.87,7,54.0
Opioids,Lifetime tamper with low-dose codeine,20-24,27.23,13,54.0
Opioids,Lifetime tamper with low-dose codeine,25-54,3.5,12,235.0
Opioids,Lifetime tamper with low-dose codeine,25-54,11.91,31,235.0
Opioids,Lifetime tamper with low-dose codeine,55+,3.04,8,161.0
Opioids,Lifetime tamper with low-dose codeine,55+,0.67,2,161.0
Opioids,Source of opioids used,15-19,24.15,11,40.0
Opioids,Source of opioids used,15-19,13.02,4,40.0
Opioids,Source of opioids used,15-19,62.82,25,40.0
Opioids,Source of opioids used,20-24,21.59,9,45.0
Opioids,Source of opioids used,20-24,27.92,13,45.0
Opioids,Source of opioids used,20-24,50.49,23,45.0
Opioids,Source of opioids used,25-54,36.14,49,125.0
Opioids,Source of opioids used,25-54,34.71,34,125.0
Opioids,Source of opioids used,25-54,29.15,42,125.0
Opioids,Source of opioids used,55+,66.21,41,61.0
Opioids,Source of opioids used,55+,10.57,7,61.0
Opioids,Source of opioids used,55+,23.21,13,61.0
Opioids,Source of non-prescribed opioids,25-54,65.46,44,66.0
Opioids,Source of non-prescribed opioids,25-54,26.55,17,66.0
Opioids,Source of non-prescribed opioids,25-54,7.99,5,66.0
Opioids,Giving away prescribed opioids,25-54,11.28,9,82.0
Opioids,Giving away prescribed opioids,55+,6.93,2,48.0
Opioids,Selling prescribed opioids,25-54,5.69,5,82.0
Opioids,"Persuading doctor, forging prescription or double doctoring to obtain opioids",25-54,1.22,1,83.0
Opioids,"Persuading doctor, forging prescription or double doctoring to obtain opioids",55+,4.19,1,48.0
