substance,indicator,age_group,percentage,sample_count,total_surveyed
Alcohol,Passenger in vehicle driven by someone who had alcohol,25-54,10.2,1612,16846.0
Alcohol,Passenger in vehicle driven by someone who had alcohol,55+,6.2,679,12272.0
Alcohol,Driving a vehicle after drinking,15-19,2.7,74,2479.0
Alcohol,Driving a vehicle after drinking,20-24,6.6,313,4441.0
Alcohol,Driving a vehicle after drinking,25-54,7.2,1114,16714.0
Alcohol,Driving a vehicle after drinking,55+,5.8,604,12204.0
Alcohol,Number of times driving after drinking,15-19,69.4,46,69.0
Alcohol,Number of times driving after drinking,15-19,30.6,23,69.0
Alcohol,Number of times driving after drinking,20-24,48.5,132,275.0
Alcohol,Number of times driving after drinking,20-24,51.5,143,275.0
Alcohol,Number of times driving after drinking,25-54,48.1,456,991.0
Alcohol,Number of times driving after drinking,25-54,51.9,535,991.0
Alcohol,Number of times driving after drinking,55+,51.9,267,543.0
Alcohol,Number of times driving after drinking,55+,48.1,276,543.0
Alcohol,AUDIT risk level,15-19,80.4,1979,2487.0
Alcohol,AUDIT risk level,15-19,14.5,368,2487.0
Alcohol,AUDIT risk level,15-19,5.1,140,2487.0
Alcohol,AUDIT risk level,20-24,76.7,3431,4477.0
Alcohol,AUDIT risk level,20-24,17.3,783,4477.0
Alcohol,AUDIT risk level,20-24,6.0,263,4477.0
Alcohol,AUDIT risk level,25-54,84.0,14191,16798.0
Alcohol,AUDIT risk level,25-54,12.0,1940,16798.0
Alcohol,AUDIT risk level,25-54,4.1,667,16798.0
Alcohol,AUDIT risk level,55+,89.2,11007,12232.0
Alcohol,AUDIT risk level,55+,9.0,1003,12232.0
Alcohol,AUDIT risk level,55+,1.8,222,12232.0
Alcohol,Frequency of drinking during pregnancy,20-24,87.2,80,90.0
Alcohol,Frequency of drinking during pregnancy,20-24,8.6,6,90.0
Alcohol,Frequency of drinking during pregnancy,20-24,4.2,4,90.0
Alcohol,Frequency of drinking during pregnancy,25-54,86.0,1313,1506.0
Alcohol,Frequency of drinking during pregnancy,25-54,9.5,133,1506.0
Alcohol,Frequency of drinking during pregnancy,25-54,4.5,60,1506.0
Alcohol,Typical number of drinks when drinking during pregnancy,25-54,94.4,176,189.0
Alcohol,Typical number of drinks when drinking during pregnancy,25-54,5.6,13,189.0
Cannabis,Lifetime use of cannabis,15-19,8.44,219,2515.0
Cannabis,Lifetime use of cannabis,15-19,42.34,1105,2515.0
Cannabis,Lifetime use of cannabis,20-24,7.41,335,4475.0
Cannabis,Lifetime use of cannabis,20-24,60.56,2700,4475.0
Cannabis,Lifetime use of cannabis,25-54,8.04,1386,16807.0
Cannabis,Lifetime use of cannabis,25-54,59.87,10062,16807.0
Cannabis,Lifetime use of cannabis,55+,12.96,1528,12227.0
Cannabis,Lifetime use of cannabis,55+,45.28,5807,12227.0
Cannabis,Past 12 month cannabis use,15-19,43.32,1115,2506.0
Cannabis,Past 12 month cannabis use,20-24,52.43,2320,4464.0
Cannabis,Past 12 month cannabis use,25-54,38.47,6369,16787.0
Cannabis,Past 12 month cannabis use,55+,19.05,2543,12215.0
Cannabis,Past 30 day cannabis use,15-19,28.04,718,2499.0
Cannabis,Past 30 day cannabis use,20-24,33.0,1443,4462.0
Cannabis,Past 30 day cannabis use,25-54,24.13,4012,16772.0
Cannabis,Past 30 day cannabis use,55+,11.15,1540,12212.0
Cannabis,Age at first cannabis use,15-19,6.72,69,1262.0
Cannabis,Age at first cannabis use,15-19,46.72,516,1262.0
Cannabis,Age at first cannabis use,15-19,43.22,613,1262.0
Cannabis,Age at first cannabis use,15-19,3.35,64,1262.0
Cannabis,Age at first cannabis use,20-24,2.61,81,2978.0
Cannabis,Age at first cannabis use,20-24,21.26,639,2978.0
Cannabis,Age at first cannabis use,20-24,42.02,1252,2978.0
Cannabis,Age at first cannabis use,20-24,34.11,1006,2978.0
Cannabis,Age at first cannabis use,25-54,3.66,416,11250.0
Cannabis,Age at first cannabis use,25-54,21.97,2397,11250.0
Cannabis,Age at first cannabis use,25-54,31.89,3505,11250.0
Cannabis,Age at first cannabis use,25-54,42.48,4932,11250.0
Cannabis,Age at first cannabis use,55+,1.48,128,7187.0
Cannabis,Age at first cannabis use,55+,16.43,1195,7187.0
Cannabis,Age at first cannabis use,55+,33.18,2462,7187.0
Cannabis,Age at first cannabis use,55+,48.91,3402,7187.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,19.74,219,1101.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,7.67,87,1101.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,9.16,90,1101.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,11.28,116,1101.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,12.74,144,1101.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,7.09,78,1101.0
Cannabis,Frequency of cannabis use in past 12 months,15-19,32.32,367,1101.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,19.73,450,2311.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,7.42,167,2311.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,9.79,214,2311.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,9.5,214,2311.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,10.85,262,2311.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,6.63,156,2311.0
Cannabis,Frequency of cannabis use in past 12 months,20-24,36.08,848,2311.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,18.5,1241,6344.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,6.69,397,6344.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,7.39,476,6344.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,8.84,563,6344.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,11.18,719,6344.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,7.19,447,6344.0
Cannabis,Frequency of cannabis use in past 12 months,25-54,40.19,2501,6344.0
