question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Black,Noir,19+,19 et plus,38.1,,34.3,42.1,344,925,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,East Asian,Asiatique de l’Est,12 and under,12 ans et moins,5.4,,4.0,7.2,48,785,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,East Asian,Asiatique de l’Est,13-15,13 à 15,12.1,,10.0,14.6,105,785,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,East Asian,Asiatique de l’Est,16-18,16 à 18,39.2,,35.6,42.9,312,785,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,East Asian,Asiatique de l’Est,19+,19 et plus,43.3,,39.9,46.8,320,785,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Indigenous,Autochtone,12 and under,12 ans et moins,16.0,,13.1,19.4,142,1001,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Indigenous,Autochtone,13-15,13 à 15,39.2,,35.6,42.9,406,1001,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Indigenous,Autochtone,16-18,16 à 18,33.5,^,30.3,36.9,354,1001,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Indigenous,Autochtone,19+,19 et plus,11.3,,8.5,14.8,99,1001,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Latin American,Latino-Américain,12 and under,12 ans et moins,5.4,,2.8,9.9,27,515,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Latin American,Latino-Américain,13-15,13 à 15,30.5,v,25.8,35.5,144,515,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Latin American,Latino-Américain,16-18,16 à 18,44.2,,39.1,49.5,244,515,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Latin American,Latino-Américain,19+,19 et plus,20.0,,16.2,24.4,100,515,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Middle Eastern,Moyen-Orient,12 and under,12 ans et moins,2.6,,1.5,4.6,16,445,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
Age at first alcoholic drink,Âge lors de la première consommation d’alcool,2,Race,La race,Middle Eastern,Moyen-Orient,13-15,13 à 15,16.1,,12.7,20.1,83,445,,"Among those who have had an alcoholic drink in their lifetime, percent who had their first alcoholic drink (more than a sip) when 12 and under, 13-15, 16-18, or 19 and over.","Parmi ceux ayant bu une boisson alcoolisée au cours de leur vie, pourcentage qui ont bu leur première boisson alcoolisée (plus d’une gorgée) à l'âge de 12 ans et moins, entre 13 et 15 ans, entre 16 et 18 ans ou 19 ans et plus.","Black includes African, African Canadian, Afro-Caribbean descent. East Asian includes Chinese, Japanese, Korean, Taiwanese descent. Indigenous includes First Nations, Inuk/Inuit, Métis descent. Latin American includes Hispanic orLatin American descent. Middle Eastern includes Arab, Persian, West Asian descent (e.g., Afghan, Egyptian, Iranian,Kurdish, Lebanese, Turkish). South Asian includes Bangladeshi, Indian, Indo-Caribbean, Pakistani, Sri Lankandescent. Southeast Asian includes Cambodian, Filipino, Indonesian, Thai, Vietnamese, or other Southeast Asiandescent. White includes European descent.","Noir inclut les descendants africains, afro-canadiens et afro-caribéens. Asiatique de l’Est inclut les Chinois, les Japonais, les Coréens, ceux d’origine taïwanaise. Autochtone inclut les membres des Premières Nations, les Inuks/Inuits et les Métis. Latino-Américain inclut les Hispaniques ou ceux de descendance latino-américaine. Moyen-Orientinclut les Arabes, Persans et Ouest-asiatiques (par exemple Afghans, Égyptiens, Iraniens, Kurdes, Libanais, Turcs).Asiatique du Sud inclut les Bangladais, les Indiens, les Indo-Caribéens, les Pakistanais et les descendants de SriLankan. Asiatique du Sud-Est inclut les Cambodgiens, les Philippins, les Indonésiens, les Thaïlandais, les Vietnamienset les descendants d’autres pays d’Asie du Sud-Est. Blanc inclut ceux de descendance européenne.",Table ALC_Q02r * DEM_Q03,5
