question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Province,La province,Nova Scotia,La Nouvelle-Écosse,,,91.9,,90.7,92.9,2469,2672,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q04,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Province,La province,Ontario,L’Ontario,,,88.5,v,87.7,89.2,5777,6628,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q04,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Province,La province,Prince Edward Island,L’île du Prince-Édouard,,,90.0,,88.7,91.1,2272,2494,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q04,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Province,La province,Québec,Le Québec,,,91.4,,90.7,92.1,5042,5556,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q04,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Province,La province,Saskatchewan,La Saskatchewan,,,92.0,,91.0,93.0,2514,2718,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * AGS_Q04,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Self-rated physical health,Santé physique auto-évaluée,Very good or excellent,Très bien ou excellente,,,89.6,,89.1,90.0,17556,19581,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q01d,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Self-rated physical health,Santé physique auto-évaluée,Good,Bonne,,,90.7,,90.2,91.2,10814,11827,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q01d,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Self-rated physical health,Santé physique auto-évaluée,Poor or fair,Mauvaise ou passable,,,89.4,,88.0,90.7,4142,4587,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q01d,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Self-rated mental health,Santé mentale auto-évaluée,Very good or excellent,Très bien ou excellente,,,88.9,,88.4,89.4,16312,18312,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q02d,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Self-rated mental health,Santé mentale auto-évaluée,Good,Bonne,,,91.6,,90.6,92.5,9660,10478,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q02d,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Self-rated mental health,Santé mentale auto-évaluée,Poor or fair,Mauvaise ou passable,,,90.4,,89.6,91.2,6498,7140,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q02d,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Disability status,Le statut d’handicap,Lives with disability,Vit avec un handicap,,,89.1,,88.2,89.9,4793,5351,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q03,1
Lifetime use of alcohol,Consommation d’alcool au cours de la vie,1,Disability status,Le statut d’handicap,Does not live with a disability,Ne vit pas avec un handicap,,,90.2,,89.8,90.6,27253,30088,,Percent of the population who has ever consumed 1 or more alcoholic drinks in their lifetime.,Pourcentage de la population qui a déjà consommé une ou plusieurs boissons alcoolisées durant sa vie.,,,Table ALC_Q01 * HWB_Q03,1
