question,question_fr,order,disagg_var1,disagg_var1_fr,disaggregate1,disaggregate1_fr,label,label_fr,colpercent,round,collowercl,coluppercl,numerator,denominator,Suppress,notes,notes_fr,notes2,notes2_fr,Table,infobase_order
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,British Columbia,La Colombie-Britannique,,,38.51295056,^,37.05530794,39.99150231,1612,4217,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Manitoba,Le Manitoba,,,35.35010094,,33.55470131,37.18780071,967,2657,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,New Brunswick,Le Nouveau-Brunswick,,,31.43298848,,29.05664689,33.91077828,809,2450,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Newfoundland and Labrador,La Terre-Neuve-et-Labrador,,,24.52377865,^,22.91924611,26.20245644,689,2636,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Nova Scotia,La Nouvelle-Écosse,,,30.93726087,,29.21080792,32.71859061,851,2665,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Ontario,L’Ontario,,,32.02237066,,30.90900468,33.15659498,2003,6618,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Prince Edward Island,L’île du Prince-Édouard,,,28.70404458,,26.96037129,30.51337818,765,2488,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Québec,Le Québec,,,17.7363319,,15.65843402,20.02450333,955,5554,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Province,La province,Saskatchewan,La Saskatchewan,,,33.4931934,v,31.38257901,35.67196164,940,2722,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * AGS_Q04,1
Lifetime use of any pharmaceutical opioids,Consommation d’opioïdes pharmaceutiques au cours de la vie,18,Self-rated physical health,Santé physique auto-évaluée,Very good or excellent,Très bien ou excellente,,,25.75924396,,24.98020928,26.55397421,5076,19573,,Percent of the population who has ever used pharmaceutical opioids in their lifetime.,Pourcentage de la population qui a déjà consommé des opioïdes pharmaceutiques durant sa vie.,,,Table PR_Q01 * HWB_Q01d,1
